index,store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,year,month,day,sales
272371,415,7,0,0,0,0,0,2015,3,1,16
558468,27,7,0,0,0,0,0,2013,12,29,0
76950,404,3,657,1,1,0,0,2014,3,19,20710
77556,683,2,862,1,0,0,0,2013,1,29,15582
456344,920,3,591,1,1,0,0,2014,3,19,20106
436466,758,4,569,1,0,0,0,2014,6,26,9307
646251,563,1,321,1,1,0,0,2015,2,16,21808
650464,930,6,1367,1,0,0,0,2014,11,22,17996
162710,756,4,0,0,1,1,0,2015,6,4,0
100327,49,2,546,1,1,0,0,2015,1,13,33772
374540,787,4,968,1,0,0,1,2015,7,23,26784
399143,782,4,472,1,0,0,0,2013,9,19,23237
44740,897,7,0,0,0,0,0,2014,4,20,0
674144,933,1,965,1,0,0,0,2013,12,9,19578
81595,218,2,804,1,0,0,1,2015,4,7,25910
416724,554,3,499,1,1,0,1,2013,10,9,21601
632687,362,1,1337,1,1,0,1,2013,8,12,22765
351899,655,3,560,1,0,0,0,2014,4,9,16696
515940,785,3,461,1,0,0,1,2014,12,31,29140
567411,690,3,866,1,1,0,0,2014,3,19,18456
274598,1103,7,0,0,0,0,0,2015,2,15,115
417880,431,1,1367,1,1,0,0,2014,6,2,23305
453710,127,2,642,1,1,0,0,2013,9,24,23178
597622,579,5,0,0,1,2,1,2013,3,29,187
223346,248,6,1139,1,0,0,0,2013,8,3,23873
630018,962,6,0,0,0,0,0,2014,1,11,1247
355860,224,2,515,1,1,0,1,2013,3,26,27541
360080,208,3,355,1,1,0,1,2013,6,19,25214
129544,401,1,1063,1,1,0,0,2015,3,30,24682
422545,503,7,0,0,0,0,0,2013,9,29,167
174199,221,4,562,1,1,0,0,2015,3,5,26413
118613,268,7,0,0,0,0,0,2014,11,2,0
60310,799,2,927,1,1,0,1,2013,8,27,26365
328458,260,6,894,1,0,0,0,2014,10,25,18106
200661,1041,2,594,1,0,0,0,2015,3,10,20321
179581,350,2,533,1,1,0,0,2013,6,18,14552
587612,286,7,0,0,0,0,0,2015,4,5,71
320169,620,2,709,1,1,0,0,2013,6,4,17394
37194,521,1,484,1,1,0,0,2013,6,17,26366
685427,649,4,435,1,1,0,0,2014,11,27,18412
125422,1059,2,1239,1,1,0,0,2015,6,2,21903
24499,486,6,373,1,0,0,0,2014,6,28,22963
281806,252,4,642,1,0,0,0,2013,10,17,25457
540511,656,3,421,1,1,0,0,2013,5,15,15888
28689,642,5,394,1,0,0,0,2014,9,12,18395
165066,655,5,761,1,1,0,0,2015,5,8,17484
555963,992,3,627,1,0,0,0,2013,6,26,19718
610614,143,2,731,1,1,0,0,2015,6,2,24843
64013,421,5,941,1,1,0,1,2014,7,18,21468
30639,246,4,1157,1,1,0,0,2014,10,2,25450
418604,960,1,720,1,1,0,0,2014,4,28,22324
468037,313,5,697,1,0,0,0,2014,1,17,21167
271589,291,6,534,1,0,0,0,2013,6,29,20501
77924,924,6,333,1,0,0,0,2014,5,31,19247
247149,337,2,430,1,1,0,1,2013,8,13,22189
576822,1024,4,607,1,0,0,0,2015,3,12,22010
108538,56,3,402,1,1,0,0,2014,1,22,33534
645670,507,3,532,1,0,0,0,2014,4,9,24370
601663,970,5,406,1,0,0,0,2013,3,15,20638
502588,846,2,828,1,0,0,0,2015,6,23,23733
66732,549,3,582,1,0,0,0,2014,8,27,19801
627113,1095,4,852,1,1,0,1,2013,3,28,18297
691184,859,5,709,1,1,0,0,2013,4,12,21311
467913,914,2,1178,1,1,0,1,2014,7,29,20969
304890,888,2,634,1,0,0,0,2015,6,23,19709
274018,442,2,517,1,1,0,0,2014,11,4,22987
644430,34,6,905,1,0,0,0,2013,3,9,23818
669009,199,4,581,1,0,0,0,2014,7,10,24459
518722,854,4,657,1,1,1,0,2015,6,4,23446
505976,611,2,485,1,1,0,0,2014,1,21,15868
291572,808,4,528,1,0,0,1,2015,4,9,23877
39071,1105,4,410,1,0,0,0,2015,1,22,19254
